"full_name","spec_B","spec_T","spkid","pdes","name","prefix","neo","pha","sats","H","G","M1","M2","K1","K2","PC","diameter","extent","albedo","rot_per","GM","BV","UB","IR","H_sigma","diameter_sigma","orbit_id","epoch","epoch_mjd","epoch_cal","equinox","e","a","q","i","om","w","ma","ad","n","tp","tp_cal","per","per_y","moid","moid_ld","moid_jup","t_jup","sigma_e","sigma_a","sigma_q","sigma_i","sigma_om","sigma_w","sigma_ma","sigma_ad","sigma_n","sigma_tp","sigma_per","class","producer","data_arc","first_obs","last_obs","n_obs_used","n_del_obs_used","n_dop_obs_used","condition_code","rms","two_body","A1","A1_sigma","A2","A2_sigma","A3","A3_sigma","DT","DT_sigma"
"  1981 Midas (1973 EA)",V,,20001981,1981,Midas,,Y,Y,0,15.28,,,,,,,3.4,,,5.22,,,,,,,"JPL 232",2460600.5,60600,2024-10-17.0,J2000,0.6505,1.776,0.621,39.82,356.80,267.84,258.81,2.93,0.4163,2460843.56,2025-06-17.0,865,2.37,0.00488,1.9,3.31,3.61,7.6e-10,1.9e-09,1.1e-09,1.5e-07,1.2e-07,1.6e-07,1.6e-06,3.2e-09,6.8e-10,4.2e-06,1.4e-06,APO,"Otto Matic",18496,1973-03-06,2023-10-26,1203,12,1,0,.45874,,,,,,,,,
"  2059 Baboquivari (1963 UA)",,,20002059,2059,Baboquivari,,Y,N,0,15.98,,,,,,,,,,129.47,,,,,,,"JPL 273",2460600.5,60600,2024-10-17.0,J2000,0.5318,2.642,1.237,11.02,200.69,192.45,51.33,4.05,0.2296,2460376.92,2024-03-07.4,1.57e+03,4.29,0.244,95.1,1.4,3.15,1.0e-09,1.5e-09,3.0e-09,1.0e-07,5.8e-07,7.6e-07,2.9e-07,2.4e-09,2.0e-10,1.1e-06,1.4e-06,AMO,"Otto Matic",21402,1963-10-16,2022-05-21,1600,,,0,.4871,,,,,,,,,
"  2061 Anza (1960 UA)",,TCG:,20002061,2061,Anza,,Y,N,0,16.70,,,,,,,2.6,,,6.712,,0.825,0.350,,,,"JPL 197",2460600.5,60600,2024-10-17.0,J2000,0.5356,2.265,1.052,3.80,207.36,157.09,283.26,3.48,0.2891,2460865.95,2025-07-09.4,1.25e+03,3.41,0.0561,21.8,1.99,3.41,2.2e-08,9.0e-10,5.0e-08,2.8e-06,4.3e-05,4.3e-05,1.5e-06,1.4e-09,1.7e-10,5.2e-06,7.4e-07,AMO,"Otto Matic",23237,1960-10-22,2024-06-05,1902,,,0,.35009,,,,,,,,,
"  2062 Aten (1976 AA)",Sr,S,20002062,2062,Aten,,Y,N,0,17.11,,,,,,,1.1,,0.26,42.15,,0.930,0.460,,,,"JPL 149",2460600.5,60600,2024-10-17.0,J2000,0.1829,0.967,0.790,18.93,108.53,148.06,338.03,1.14,1.037,2460621.70,2024-11-07.1,347,0.951,0.114,44.5,3.92,6.18,1.4e-09,1.0e-09,1.3e-09,7.1e-07,1.4e-06,1.7e-06,5.3e-06,1.2e-09,1.6e-09,5.1e-06,5.4e-07,ATE,Giorgini,23339,1955-12-17,2019-11-10,1024,5,2,0,.34905,,,,-1.1e-14,1.1e-15,,,,
"  2063 Bacchus (1977 HB)",Sq,,20002063,2063,Bacchus,,Y,N,0,17.21,,,,,,,1.024,"1.11 x 0.53 x 0.50",0.203,14.904,,,,,,0.02,"JPL 241",2460600.5,60600,2024-10-17.0,J2000,0.3494,1.078,0.701,9.44,33.04,55.34,242.55,1.45,0.8806,2460733.87,2025-02-27.3,409,1.12,0.0679,26.4,3.78,5.67,3.1e-09,6.1e-10,3.1e-09,2.5e-07,1.3e-06,1.6e-06,2.4e-06,8.2e-10,7.5e-10,2.9e-06,3.5e-07,APO,"Otto Matic",17237,1977-04-24,2024-07-03,1482,7,5,0,.38842,,,,-8.3e-15,7.4e-16,,,,
"  2100 Ra-Shalom (1978 RA)",Xc,C,20002100,2100,Ra-Shalom,,Y,N,0,16.23,0.12,,,,,,2.3,,0.13,19.797,,0.712,0.310,,,0.20,"JPL 394",2460600.5,60600,2024-10-17.0,J2000,0.4365,0.832,0.469,15.75,170.78,356.08,89.62,1.20,1.299,2460531.49,2024-08-08.9,277,0.759,0.15,58.4,3.78,6.95,1.1e-09,1.4e-10,9.0e-10,6.0e-08,2.1e-07,2.0e-07,5.5e-07,2.0e-10,3.3e-10,4.0e-07,7.0e-08,ATE,"Otto Matic",17463,1975-10-03,2023-07-26,3209,9,2,0,.35471,,,,-4.2e-15,2.6e-16,,,,
"  2101 Adonis (1936 CA)",,,20002101,2101,Adonis,,Y,Y,0,18.72,,,,,,,0.6,,,,,,,,,,"JPL 47",2460600.5,60600,2024-10-17.0,J2000,0.7642,1.874,0.442,1.32,349.43,43.69,230.82,3.31,0.3842,2460936.75,2025-09-18.2,937,2.57,0.0116,4.51,2.15,3.55,5.9e-08,9.9e-09,1.1e-07,9.6e-06,4.5e-04,4.5e-04,1.0e-05,1.8e-08,3.1e-09,2.8e-05,7.5e-06,APO,"Otto Matic",30790,1936-02-21,2020-06-09,123,0,5,0,.39458,,,,-3.3e-14,5.7e-15,,,,
"  2102 Tantalus (1975 YA)",Q,,20002102,2102,Tantalus,,Y,Y,0,16.00,,,,,,,1.649,,0.245,2.384,,,,,,0.04,"JPL 260",2460600.5,60600,2024-10-17.0,J2000,0.2993,1.29,0.904,64.00,94.35,61.52,78.27,1.68,0.6726,2460484.14,2024-06-22.6,535,1.47,0.0436,17,3.77,4.45,4.2e-10,2.4e-10,5.8e-10,8.7e-08,8.5e-08,1.2e-07,5.6e-07,3.2e-10,1.9e-10,7.9e-07,1.5e-07,APO,"Otto Matic",17388,1976-01-02,2023-08-11,2148,1,0,0,.38887,,,,,,,,,
"  2135 Aristaeus (1977 HA)",,,20002135,2135,Aristaeus,,Y,Y,0,18.05,,,,,,,,,,,,,,,,,"JPL 24",2460600.5,60600,2024-10-17.0,J2000,0.5030,1.6,0.795,23.07,191.11,290.97,202.31,2.40,0.4871,2460924.20,2025-09-05.7,739,2.02,0.011,4.26,2.96,4.13,1.3e-06,8.2e-08,2.0e-06,5.1e-05,3.4e-04,1.6e-04,7.7e-04,1.2e-07,3.8e-08,1.6e-03,5.7e-05,APO,"Otto Matic",15749,1977-04-17,2020-05-30,61,,,1,.54865,,,,,,,,,
"  2201 Oljato (1947 XC)",Sq,,20002201,2201,Oljato,,Y,Y,0,15.34,,,,,,,1.80,,0.4328,26,,,,,,0.10,"JPL 277",2460600.5,60600,2024-10-17.0,J2000,0.7107,2.179,0.630,2.52,74.87,98.37,334.42,3.73,0.3065,2460683.95,2025-01-08.4,1.17e+03,3.22,0.00259,1.01,1.25,3.3,3.0e-09,1.4e-09,6.7e-09,1.3e-07,4.9e-06,5.1e-06,8.3e-07,2.4e-09,3.0e-10,2.8e-06,1.2e-06,APO,"Otto Matic",33920,1931-12-03,2024-10-15,1457,0,5,0,.50439,,,,,,,,,
