"full_name","spec_B","spec_T","spkid","pdes","name","prefix","neo","pha","sats","H","G","M1","M2","K1","K2","PC","diameter","extent","albedo","rot_per","GM","BV","UB","IR","H_sigma","diameter_sigma","orbit_id","epoch","epoch_mjd","epoch_cal","equinox","e","a","q","i","om","w","ma","ad","n","tp","tp_cal","per","per_y","moid","moid_ld","moid_jup","t_jup","sigma_e","sigma_a","sigma_q","sigma_i","sigma_om","sigma_w","sigma_ma","sigma_ad","sigma_n","sigma_tp","sigma_per","class","producer","data_arc","first_obs","last_obs","n_obs_used","n_del_obs_used","n_dop_obs_used","condition_code","rms","two_body","A1","A1_sigma","A2","A2_sigma","A3","A3_sigma","DT","DT_sigma"
"458116 (2010 DA)",,,20458116,458116,,,Y,Y,0,20.29,,,,,,,,,,,,,,,,,"JPL 34",2460600.5,60600,2024-10-17.0,J2000,0.5657,1.03,0.447,20.54,162.31,122.24,285.48,1.61,0.9424,2460679.57,2025-01-04.0,382,1.05,0.00623,2.42,3.67,5.74,5.3e-07,3.7e-08,5.3e-07,1.6e-05,2.1e-05,2.4e-05,2.3e-04,5.7e-08,5.0e-08,2.5e-04,2.0e-05,APO,"Otto Matic",2852,2010-02-16,2017-12-08,119,,,1,.6074,,,,,,,,,
"458122 (2010 EW45)",,,20458122,458122,,,Y,Y,0,17.61,,,,,,,,,,,,,,,,,"JPL 98",2460600.5,60600,2024-10-17.0,J2000,0.6690,2.067,0.684,2.12,232.92,135.58,353.60,3.45,0.3317,2460619.80,2024-11-05.3,1.09e+03,2.97,0.019,7.38,2.02,3.45,5.2e-08,6.1e-09,1.1e-07,6.5e-06,1.1e-04,1.1e-04,4.9e-06,1.0e-08,1.5e-09,1.5e-05,4.8e-06,APO,"Otto Matic",9211,1999-03-21,2024-06-08,497,,,0,.48518,,,,,,,,,
"458135 (2010 GE25)",,,20458135,458135,,,Y,N,0,20.28,,,,,,,0.304,,0.230,,,,,,,0.05,"JPL 44",2460600.5,60600,2024-10-17.0,J2000,0.4677,2.067,1.100,21.61,324.31,235.56,313.30,3.03,0.3317,2460741.30,2025-03-06.7,1.09e+03,2.97,0.225,87.6,2.25,3.55,2.3e-07,1.1e-08,4.7e-07,2.6e-05,1.1e-05,8.1e-05,2.5e-05,1.6e-08,2.6e-09,7.4e-05,8.6e-06,AMO,"Otto Matic",3239,2010-04-01,2019-02-12,179,,,0,.56295,,,,,,,,,
"458198 (2010 RT11)",,,20458198,458198,,,Y,N,0,19.08,,,,,,,,,,3.007,,,,,,,"JPL 116",2460600.5,60600,2024-10-17.0,J2000,0.4073,2.119,1.256,2.26,221.73,17.98,260.63,2.98,0.3195,2460911.51,2025-08-24.0,1.13e+03,3.08,0.246,95.7,2.03,3.62,4.4e-08,1.6e-08,1.0e-07,3.0e-06,6.0e-05,6.0e-05,1.3e-05,2.2e-08,3.6e-09,4.3e-05,1.3e-05,AMO,"Otto Matic",4817,2010-09-02,2023-11-10,544,,,0,.43087,,,,,,,,,
"458368 (2010 WJ)",,,20458368,458368,,,Y,N,0,18.54,,,,,,,,,,,,,,,,,"JPL 61",2460600.5,60600,2024-10-17.0,J2000,0.2851,1.798,1.286,27.03,262.52,107.70,310.69,2.31,0.4087,2460721.14,2025-02-14.6,881,2.41,0.457,178,3.4,3.9,7.1e-08,6.1e-09,1.3e-07,1.3e-05,1.1e-05,3.0e-05,1.8e-05,7.9e-09,2.1e-09,4.3e-05,4.5e-06,AMO,"Otto Matic",4440,2010-11-17,2023-01-13,241,,,0,.45905,,,,,,,,,
"458375 (2010 WY8)",,,20458375,458375,,,Y,N,0,21.32,,,,,,,,,,,,,,,,,"JPL 46",2460600.5,60600,2024-10-17.0,J2000,0.1356,1.385,1.197,5.98,88.83,81.53,97.97,1.57,0.6046,2460438.45,2024-05-07.9,595,1.63,0.234,91.2,3.4,4.77,7.6e-08,2.4e-09,1.1e-07,3.2e-06,3.2e-05,3.5e-05,1.5e-05,2.7e-09,1.6e-09,2.5e-05,1.5e-06,AMO,"Otto Matic",7554,2003-04-03,2023-12-08,158,,,0,.62366,,,,,,,,,
"458418 (2011 AM12)",,,20458418,458418,,,Y,Y,0,19.47,,,,,,,,,,,,,,,,,"JPL 27",2460600.5,60600,2024-10-17.0,J2000,0.5377,1.854,0.857,38.50,124.76,237.74,199.81,2.85,0.3903,2461010.90,2025-12-01.3,922,2.53,0.00832,3.24,3.06,3.59,4.0e-07,3.7e-08,7.6e-07,2.0e-05,1.7e-05,2.4e-05,4.2e-05,5.6e-08,1.2e-08,1.2e-04,2.7e-05,APO,"Otto Matic",1850,2011-01-08,2016-02-01,83,,,0,.51366,,,,,,,,,
"458436 (2011 AL52)",,,20458436,458436,,,Y,Y,0,17.45,,,,,,,1.102,,0.159,,,,,,,0.48,"JPL 46",2460600.5,60600,2024-10-17.0,J2000,0.6363,2.802,1.019,13.44,272.70,171.76,325.38,4.59,0.2101,2460765.29,2025-03-30.7,1.71e+03,4.69,0.0395,15.4,0.708,2.96,4.4e-08,5.2e-08,1.3e-07,8.9e-06,6.3e-05,7.2e-05,3.0e-05,8.5e-08,5.8e-09,1.5e-04,4.8e-05,AMO,"Otto Matic",4981,2011-01-14,2024-09-03,164,,,0,.47933,,,,,,,,,
"458452 (2011 BR15)",,,20458452,458452,,,Y,N,0,19.77,,,,,,,,,,6.4108,,,,,,,"JPL 50",2460600.5,60600,2024-10-17.0,J2000,0.2769,0.8735,0.632,10.23,216.81,72.16,130.89,1.12,1.207,2460492.08,2024-06-30.5,298,0.816,0.0591,23,4.01,6.73,8.0e-08,2.0e-09,6.9e-08,6.3e-06,3.8e-05,3.9e-05,2.5e-05,2.6e-09,4.2e-09,2.0e-05,1.0e-06,ATE,"Otto Matic",8002,2002-02-06,2024-01-04,187,,,0,.4974,,,,,,,,,
"458723 (2011 KQ12)",,,20458723,458723,,,Y,Y,0,19.48,,,,,,,,,,,,,,,,,"JPL 30",2460600.5,60600,2024-10-17.0,J2000,0.5030,1.811,0.900,19.29,83.61,142.91,174.35,2.72,0.4046,2460169.56,2023-08-13.0,890,2.44,0.0411,16,2.36,3.84,8.2e-08,2.9e-08,1.5e-07,9.3e-06,4.8e-05,5.2e-05,3.6e-05,4.4e-08,9.7e-09,7.8e-05,2.1e-05,APO,"Otto Matic",3786,2011-05-22,2021-10-02,89,,,0,.53627,,,,,,,,,
"458732 (2011 MD5)",,,20458732,458732,,,Y,N,0,17.81,,,,,,,,,,,,,,,,,"JPL 190",2460600.5,60600,2024-10-17.0,J2000,0.6028,2.485,0.987,10.55,170.33,224.89,91.33,3.98,0.2516,2460237.56,2023-10-20.0,1.43e+03,3.92,0.0606,23.6,1.55,3.18,1.1e-08,6.0e-09,2.8e-08,2.6e-06,6.6e-06,8.4e-06,1.2e-06,9.6e-09,9.1e-10,4.8e-06,5.2e-06,APO,"Otto Matic",4668,2011-06-30,2024-04-10,1440,1,0,0,.3036,,,,,,,,,
"458745 (2011 QY37)",,,20458745,458745,,,Y,N,0,18.44,,,,,,,,,,,,,,,,,"JPL 162",2460600.5,60600,2024-10-17.0,J2000,0.5149,2.485,1.206,7.57,135.79,281.37,93.13,3.77,0.2515,2460230.25,2023-10-12.7,1.43e+03,3.92,0.259,101,1.7,3.27,3.1e-08,9.2e-09,7.3e-08,3.0e-06,2.3e-05,2.6e-05,4.6e-06,1.4e-08,1.4e-09,1.7e-05,7.9e-06,AMO,"Otto Matic",6059,2007-08-08,2024-03-10,723,,,0,.37751,,,,,,,,,
"458964 (2011 WM2)",,,20458964,458964,,,Y,N,0,20.26,,,,,,,,,,,,,,,,,"JPL 45",2460600.5,60600,2024-10-17.0,J2000,0.2877,1.56,1.111,15.87,57.49,315.31,245.87,2.01,0.5061,2460826.03,2025-05-30.5,711,1.95,0.171,66.4,3.49,4.34,2.0e-07,3.9e-08,3.1e-07,1.8e-05,1.5e-05,8.8e-05,1.3e-04,5.0e-08,1.9e-08,2.6e-04,2.7e-05,AMO,"Otto Matic",3000,2011-11-17,2020-02-03,231,,,0,.43259,,,,,,,,,
"459046 (2012 AS10)",,,20459046,459046,,,Y,N,0,17.34,,,,,,,,,,,,,,,,,"JPL 46",2460600.5,60600,2024-10-17.0,J2000,0.4873,1.597,0.819,12.50,50.93,194.94,347.25,2.37,0.4886,2460626.61,2024-11-12.1,737,2.02,0.139,54.3,2.66,4.2,9.9e-07,2.3e-08,1.6e-06,4.1e-05,8.3e-05,1.4e-04,3.3e-04,3.4e-08,1.0e-08,6.8e-04,1.6e-05,APO,"Otto Matic",15891,1980-10-05,2024-04-08,181,,,1,.49799,,,,,,,,,
"459119 (2012 BJ134)",,,20459119,459119,,,Y,N,0,18.20,,,,,,,,,,,,,,,,,"JPL 70",2460600.5,60600,2024-10-17.0,J2000,0.8330,2.256,0.377,21.28,144.49,138.28,242.03,4.13,0.291,2461005.97,2025-11-26.4,1.24e+03,3.39,0.16,62.3,1.53,2.99,5.1e-08,2.7e-08,1.1e-07,1.2e-05,1.2e-05,1.7e-05,2.4e-05,4.9e-08,5.2e-09,9.0e-05,2.2e-05,APO,"Otto Matic",3944,2012-01-19,2022-11-06,461,,,0,.3985,,,,,,,,,
"459200 (2012 DK61)",,,20459200,459200,,,Y,N,0,21.08,,,,,,,,,,,,,,,,,"JPL 55",2460600.5,60600,2024-10-17.0,J2000,0.1655,1.243,1.037,6.27,336.09,301.42,304.92,1.45,0.7113,2460677.94,2025-01-02.4,506,1.39,0.068,26.5,3.64,5.14,3.7e-08,2.5e-09,4.4e-08,5.4e-06,3.0e-05,4.3e-05,3.7e-05,2.9e-09,2.2e-09,5.2e-05,1.5e-06,AMO,"Otto Matic",7777,2001-10-27,2023-02-11,226,,,0,.57927,,,,,,,,,
"459386 (2012 KJ11)",,,20459386,459386,,,Y,N,0,17.05,,,,,,,,,,,,,,,,,"JPL 141",2460600.5,60600,2024-10-17.0,J2000,0.5715,1.569,0.672,35.83,339.62,305.31,33.46,2.46,0.5017,2460533.80,2024-08-11.3,718,1.96,0.184,71.4,3.2,4.05,4.4e-08,8.8e-09,6.9e-08,9.8e-06,9.2e-06,9.6e-06,4.9e-06,1.4e-08,4.2e-09,9.7e-06,6.0e-06,APO,"Otto Matic",4533,2012-05-17,2024-10-14,640,,,0,.5807,,,,,,,,,
"459451 (2012 WG32)",,,20459451,459451,,,Y,N,0,17.59,,,,,,,,,,,,,,,,,"JPL 60",2460600.5,60600,2024-10-17.0,J2000,0.4959,1.835,0.925,17.62,26.55,300.49,355.82,2.74,0.3966,2460611.04,2024-10-27.5,908,2.48,0.0719,28,2.79,3.82,6.5e-08,1.8e-08,1.2e-07,6.8e-06,1.9e-05,2.9e-05,4.0e-05,2.8e-08,6.0e-09,1.0e-04,1.4e-05,APO,"Otto Matic",7872,2002-11-17,2024-06-06,222,,,0,.55142,,,,,,,,,
"459458 (2012 XR134)",,,20459458,459458,,,Y,N,0,18.55,,,,,,,,,,,,,,,,,"JPL 50",2460600.5,60600,2024-10-17.0,J2000,0.7730,2.013,0.457,11.99,217.88,355.47,352.69,3.57,0.345,2460621.69,2024-11-07.1,1.04e+03,2.86,0.195,76,1.4,3.36,3.3e-08,6.4e-09,6.6e-08,6.2e-06,3.2e-05,3.2e-05,8.5e-06,1.1e-08,1.6e-09,2.5e-05,5.0e-06,APO,"Otto Matic",7341,1998-11-23,2018-12-29,179,,,0,.47656,,,,,,,,,
"459462 (2013 AY52)",,,20459462,459462,,,Y,N,0,19.95,,,,,,,,,,,,,,,,,"JPL 92",2460600.5,60600,2024-10-17.0,J2000,0.4744,1.314,0.691,18.35,116.32,251.85,348.12,1.94,0.6543,2460618.66,2024-11-04.1,550,1.51,0.0798,31.1,3.63,4.8,7.0e-08,3.0e-09,9.1e-08,8.9e-06,6.0e-06,1.2e-05,7.5e-06,4.4e-09,2.3e-09,1.1e-05,1.9e-06,APO,"Otto Matic",5790,2006-04-21,2022-02-26,548,,,0,.44102,,,,,,,,,
"459683 (2013 MY5)",,,20459683,459683,,,Y,Y,0,19.79,,,,,,,0.269,,0.322,,,,,,,0.07,"JPL 58",2460600.5,60600,2024-10-17.0,J2000,0.4532,1.662,0.909,3.00,102.88,279.04,61.87,2.41,0.4601,2460466.01,2024-06-04.5,783,2.14,0.0322,12.5,3.05,4.14,5.3e-08,2.3e-08,8.1e-08,1.1e-05,6.9e-05,7.0e-05,3.4e-05,3.4e-08,9.7e-09,7.1e-05,1.7e-05,APO,"Otto Matic",955,2013-06-18,2016-01-29,180,,,0,.46356,,,,,,,,,
"459872 (2014 EK24)",,,20459872,459872,,,Y,N,0,23.36,,,,,,,,,,0.0978,,,,,,,"JPL 97",2460600.5,60600,2024-10-17.0,J2000,0.0701,1.009,0.938,4.80,340.54,63.94,297.60,1.08,0.9726,2460664.66,2024-12-20.1,370,1.01,0.0297,11.5,4.01,6.03,8.0e-08,2.9e-09,8.3e-08,5.0e-06,6.0e-06,2.0e-05,1.9e-05,3.1e-09,4.2e-09,1.9e-05,1.6e-06,APO,"Otto Matic",1415,2014-03-04,2018-01-17,590,,,0,.39507,,,,,,,,,
"461353 (1999 LS7)",,,20461353,461353,,,Y,N,0,21.16,,,,,,,,,,,,,,,,,"JPL 25",2460600.5,60600,2024-10-17.0,J2000,0.3008,1.01,0.706,13.05,252.29,123.79,265.39,1.31,0.9709,2460697.94,2025-01-22.4,371,1.02,0.0509,19.8,4.18,5.97,3.6e-07,9.3e-09,3.6e-07,2.3e-05,2.9e-05,4.7e-05,1.1e-04,1.2e-08,1.3e-08,1.1e-04,5.1e-06,APO,"Otto Matic",6113,1999-06-08,2016-03-03,135,,,0,.55453,,,,,,,,,
"461365 (2000 JF1)",,,20461365,461365,,,Y,N,0,19.32,,,,,,,,,,,,,,,,,"JPL 24",2460600.5,60600,2024-10-17.0,J2000,0.4535,2.185,1.194,11.39,54.88,220.38,185.53,3.18,0.3052,2461172.16,2026-05-11.6,1.18e+03,3.23,0.214,83.4,2.01,3.51,7.9e-08,1.2e-08,1.7e-07,1.2e-05,4.8e-05,5.4e-05,3.0e-05,1.7e-08,2.4e-09,1.0e-04,9.4e-06,AMO,"Otto Matic",8573,2000-04-27,2023-10-17,94,,,0,.60105,,,,,,,,,
"461397 (2001 SD170)",,,20461397,461397,,,Y,N,0,18.34,,,,,,,,,,,,,,,,,"JPL 38",2460600.5,60600,2024-10-17.0,J2000,0.5286,2.276,1.073,25.26,196.99,215.91,247.50,3.48,0.2871,2460992.33,2025-11-12.8,1.25e+03,3.43,0.136,52.8,2.14,3.3,1.1e-07,4.5e-08,2.5e-07,2.3e-05,1.9e-05,3.8e-05,8.0e-05,6.9e-08,8.5e-09,2.9e-04,3.7e-05,AMO,"Otto Matic",6222,2001-07-25,2018-08-07,176,,,0,.41009,,,,,,,,,
"461501 (2003 FT3)",,,20461501,461501,,,Y,N,0,18.68,,,,,,,,,,,,,,,,,"JPL 106",2460600.5,60600,2024-10-17.0,J2000,0.5677,2.68,1.158,4.32,181.54,84.68,312.22,4.20,0.2247,2460813.18,2025-05-17.6,1.6e+03,4.39,0.165,64.3,0.96,3.12,3.2e-08,1.8e-08,8.5e-08,4.3e-06,5.6e-05,6.0e-05,1.9e-05,2.9e-08,2.3e-09,8.5e-05,1.6e-05,AMO,"Otto Matic",6795,2003-03-25,2021-10-31,559,,,0,.51532,,,,,,,,,
"461852 (2006 GY2)",,,20461852,461852,,,Y,Y,1,18.90,,,,,,,,,,2.25,,,,,,,"JPL 65",2460600.5,60600,2024-10-17.0,J2000,0.4959,1.858,0.937,30.56,54.29,216.73,87.41,2.78,0.3891,2460375.83,2024-03-06.3,925,2.53,0.00575,2.24,2.48,3.69,5.1e-08,1.5e-08,9.1e-08,3.6e-06,1.4e-06,2.2e-05,3.5e-05,2.2e-08,4.7e-09,8.8e-05,1.1e-05,APO,"Otto Matic",3721,2006-04-09,2016-06-16,308,6,3,0,.42775,,,,,,,,,
"461912 (2006 RG2)",,,20461912,461912,,,Y,N,0,18.34,,,,,,,,,,,,,,,,,"JPL 78",2460600.5,60600,2024-10-17.0,J2000,0.6503,2.696,0.943,8.58,30.76,75.26,10.41,4.45,0.2227,2460553.75,2024-08-31.2,1.62e+03,4.43,0.101,39.1,1.01,3.01,3.0e-08,1.2e-08,8.1e-08,8.7e-06,2.3e-05,2.4e-05,1.1e-05,2.0e-08,1.5e-09,4.9e-05,1.1e-05,APO,"Otto Matic",5019,2006-09-14,2020-06-11,423,,,0,.53949,,,,,,,,,
"462041 (2007 DL8)",,,20462041,462041,,,Y,N,0,17.36,,,,,,,1.847,,0.052,,,,,,,0.09,"JPL 52",2460600.5,60600,2024-10-17.0,J2000,0.7632,2.663,0.631,19.64,154.73,135.34,341.51,4.69,0.2268,2460682.03,2025-01-06.5,1.59e+03,4.35,0.179,69.8,1.24,2.83,3.7e-08,1.3e-08,9.9e-08,1.6e-05,2.3e-05,2.4e-05,7.0e-06,2.3e-08,1.6e-09,3.2e-05,1.2e-05,APO,"Otto Matic",5066,2007-02-21,2021-01-04,234,,,0,.49025,,,,,,,,,
"462238 (2008 CN1)",,,20462238,462238,,,Y,Y,0,20.66,,,,,,,0.227,,0.197,6.0555,,,,,,0.00,"JPL 62",2460600.5,60600,2024-10-17.0,J2000,0.3477,0.7707,0.503,7.22,331.46,7.26,26.27,1.04,1.457,2460582.47,2024-09-28.9,247,0.677,0.0349,13.6,4.31,7.47,7.8e-08,1.1e-08,6.2e-08,9.2e-06,7.8e-06,2.1e-05,1.8e-04,1.5e-08,3.2e-08,1.3e-04,5.4e-06,ATE,"Otto Matic",2945,2008-02-02,2016-02-25,568,,,1,.35607,,,,,,,,,
"462329 (2008 JZ30)",,,20462329,462329,,,Y,N,0,18.47,,,,,,,,,,,,,,,,,"JPL 58",2460600.5,60600,2024-10-17.0,J2000,0.5279,2.585,1.220,25.46,161.01,91.62,352.02,3.95,0.2371,2460634.17,2024-11-19.6,1.52e+03,4.16,0.49,191,2.15,3.09,9.2e-08,5.4e-08,2.6e-07,1.9e-05,1.3e-05,2.1e-05,3.6e-05,8.3e-08,7.5e-09,1.5e-04,4.8e-05,AMO,"Otto Matic",4295,2008-05-14,2020-02-16,224,,,0,.50343,,,,,,,,,
"462550 (2009 CB3)",,,20462550,462550,,,Y,Y,0,19.63,,,,,,,,,,,,,,,,,"JPL 66",2460600.5,60600,2024-10-17.0,J2000,0.7237,1.065,0.294,21.50,158.73,229.52,148.11,1.84,0.8969,2460435.36,2024-05-04.8,401,1.1,0.011,4.28,3.71,5.47,8.4e-08,2.3e-09,8.9e-08,1.6e-05,1.4e-05,1.3e-05,1.2e-05,4.0e-09,2.9e-09,1.3e-05,1.3e-06,APO,"Otto Matic",4455,2009-02-04,2021-04-17,249,,,0,.61288,,,,,,,,,
"462559 (2009 DD1)",,,20462559,462559,,,Y,N,0,20.57,,,,,,,,,,,,,,,,,"JPL 36",2460600.5,60600,2024-10-17.0,J2000,0.0808,1.242,1.141,29.39,158.28,104.97,9.13,1.34,0.7123,2460587.68,2024-10-04.1,505,1.38,0.196,76.2,3.74,5.04,1.5e-07,7.7e-09,1.8e-07,1.7e-05,1.1e-05,8.0e-05,7.4e-05,8.4e-09,6.6e-09,1.0e-04,4.7e-06,AMO,"Otto Matic",5320,2009-02-19,2023-09-14,138,,,0,.58342,,,,,,,,,
"462736 (2010 BL2)",,,20462736,462736,,,Y,N,0,16.39,,,,,,,,,,,,,,,,,"JPL 49",2460600.5,60600,2024-10-17.0,J2000,0.7847,2.225,0.479,59.90,91.22,199.58,186.74,3.97,0.297,2461183.86,2026-05-23.3,1.21e+03,3.32,0.518,201,1.53,2.75,1.2e-07,2.8e-08,2.7e-07,3.3e-05,1.6e-05,2.0e-05,2.4e-05,5.0e-08,5.6e-09,9.0e-05,2.3e-05,APO,"Otto Matic",5033,2010-01-07,2023-10-19,210,,,0,.39325,,,,,,,,,
"462775 (2010 GY6)",,,20462775,462775,,,Y,N,0,19.40,,,,,,,0.579,,0.028,,,,,,,0.05,"JPL 87",2460600.5,60600,2024-10-17.0,J2000,0.2343,1.286,0.985,21.91,204.67,116.03,227.63,1.59,0.6755,2460796.47,2025-04-30.9,533,1.46,0.0928,36.1,3.78,4.94,5.1e-08,7.5e-09,6.2e-08,8.8e-06,9.3e-06,1.6e-05,3.2e-05,9.3e-09,5.9e-09,4.8e-05,4.7e-06,APO,"Otto Matic",4613,2010-04-06,2022-11-22,366,,,0,.44308,,,,,,,,,
"462959 (2011 DU)",,,20462959,462959,,,Y,Y,0,21.11,,,,,,,,,,10.29,,,,,,,"JPL 87",2460600.5,60600,2024-10-17.0,J2000,0.3178,1.172,0.799,2.95,176.87,120.20,164.01,1.54,0.7773,2460389.49,2024-03-19.9,463,1.27,0.0175,6.82,3.65,5.34,2.1e-08,3.5e-09,2.3e-08,3.3e-06,4.4e-05,4.4e-05,1.1e-05,4.6e-09,3.4e-09,1.4e-05,2.1e-06,APO,"Otto Matic",3618,2011-02-22,2021-01-18,299,5,2,0,.50633,,,,,,,,,
"463216 (2012 DU30)",,,20463216,463216,,,Y,N,0,18.31,,,,,,,,,,,,,,,,,"JPL 48",2460600.5,60600,2024-10-17.0,J2000,0.5112,2.597,1.269,28.21,146.97,61.82,356.81,3.92,0.2355,2460614.06,2024-10-30.5,1.53e+03,4.18,0.437,170,1.78,3.07,1.5e-07,1.6e-07,4.5e-07,1.6e-05,1.9e-05,4.5e-05,1.1e-04,2.4e-07,2.2e-08,4.5e-04,1.4e-04,AMO,"Otto Matic",5680,2004-07-16,2020-02-03,175,,,1,.38543,,,,,,,,,
"463257 (2012 GG1)",,,20463257,463257,,,Y,N,0,18.57,,,,,,,,,,,,,,,,,"JPL 33",2460600.5,60600,2024-10-17.0,J2000,0.3312,1.582,1.058,9.98,321.80,37.23,321.36,2.11,0.4953,2460678.51,2025-01-03.0,727,1.99,0.0826,32.2,3.36,4.31,1.9e-06,3.9e-08,3.0e-06,4.3e-05,2.6e-04,3.1e-04,7.1e-04,5.1e-08,1.8e-08,1.4e-03,2.7e-05,AMO,"Otto Matic",8092,2002-03-15,2024-05-10,99,,,1,.69018,,,,,,,,,
"463282 (2012 HR15)",,,20463282,463282,,,Y,N,0,16.91,,,,,,,,,,,,,,,,,"JPL 93",2460600.5,60600,2024-10-17.0,J2000,0.7407,2.471,0.641,28.24,80.43,332.87,98.08,4.30,0.2537,2460213.95,2023-09-26.4,1.42e+03,3.88,0.277,108,1.36,2.92,4.8e-08,1.6e-08,1.2e-07,6.0e-06,2.5e-05,2.5e-05,6.8e-06,2.8e-08,2.5e-09,2.4e-05,1.4e-05,APO,"Otto Matic",4405,2012-04-22,2024-05-14,395,,,0,.5034,,,,,,,,,
"463360 (2012 TU)",,,20463360,463360,,,Y,N,0,20.65,,,,,,,,,,,,,,,,,"JPL 41",2460600.5,60600,2024-10-17.0,J2000,0.3343,1.621,1.079,11.22,0.79,269.00,2.35,2.16,0.4778,2460595.59,2024-10-12.0,754,2.06,0.207,80.5,3.01,4.24,4.6e-08,2.1e-08,8.6e-08,9.4e-06,1.8e-05,2.5e-05,3.1e-05,2.8e-08,9.2e-09,6.5e-05,1.5e-05,AMO,"Otto Matic",3413,2008-10-31,2018-03-06,104,,,0,.56591,,,,,,,,,
"463380 (2013 BY45)",,,20463380,463380,,,Y,N,0,19.02,,,,,,,,,,425,,,,,,,"JPL 51",2460600.5,60600,2024-10-17.0,J2000,0.4059,2.114,1.256,28.70,132.03,330.94,309.14,2.97,0.3207,2460759.10,2025-03-24.5,1.12e+03,3.07,0.307,119,2.27,3.48,1.1e-07,2.6e-08,2.4e-07,1.1e-05,6.7e-06,1.8e-05,2.1e-05,3.7e-08,6.0e-09,7.0e-05,2.1e-05,AMO,"Otto Matic",5292,2010-04-06,2024-10-01,284,,,0,.40879,,,,,,,,,
"463387 (2013 CT82)",,,20463387,463387,,,Y,Y,0,18.43,,,,,,,,,,,,,,,,,"JPL 41",2460600.5,60600,2024-10-17.0,J2000,0.6248,2.085,0.782,1.80,271.38,90.54,30.03,3.39,0.3275,2460508.80,2024-07-17.2,1.1e+03,3.01,0.013,5.06,2.08,3.48,1.7e-07,3.4e-08,3.6e-07,1.7e-05,6.2e-04,6.2e-04,1.9e-05,5.6e-08,8.1e-09,5.5e-05,2.7e-05,APO,"Otto Matic",3313,2013-02-08,2022-03-06,125,,,0,.62121,,,,,,,,,
"463664 (2014 JY24)",,,20463664,463664,,,Y,N,0,18.64,,,,,,,0.868,,0.085,,,,,,,0.06,"JPL 80",2460600.5,60600,2024-10-17.0,J2000,0.5928,1.632,0.665,19.96,67.27,38.16,68.39,2.60,0.4726,2460455.79,2024-05-25.2,762,2.09,0.202,78.6,2.71,4.04,1.7e-07,9.4e-09,2.7e-07,1.8e-05,2.0e-05,2.7e-05,1.9e-05,1.5e-08,4.1e-09,3.9e-05,6.5e-06,APO,"Otto Matic",9891,1991-05-14,2018-06-12,289,,,0,.5604,,,,,,,,,
"464639 (2000 PO30)",,,20464639,464639,,,Y,N,0,19.17,,,,,,,,,,,,,,,,,"JPL 27",2460600.5,60600,2024-10-17.0,J2000,0.3995,1.836,1.103,3.58,201.00,218.05,248.44,2.57,0.3961,2460882.17,2025-07-25.6,909,2.49,0.12,46.9,2.8,3.92,9.5e-08,1.5e-08,1.8e-07,1.3e-05,9.9e-05,1.1e-04,6.1e-05,2.1e-08,4.8e-09,1.6e-04,1.1e-05,AMO,"Otto Matic",7555,2000-08-02,2021-04-09,95,,,0,.62658,,,,,,,,,
"464797 (2004 FZ1)",,,20464797,464797,,,Y,N,0,18.30,,,,,,,0.726,,0.160,45.4,,,,,,0.27,"JPL 70",2460600.5,60600,2024-10-17.0,J2000,0.5309,1.794,0.841,52.62,152.59,89.50,171.68,2.75,0.4103,2460182.05,2023-08-25.5,877,2.4,0.228,88.9,3.39,3.5,4.6e-08,2.8e-09,8.3e-08,2.4e-05,5.5e-06,1.4e-05,8.8e-06,4.3e-09,9.6e-10,2.1e-05,2.1e-06,APO,"Otto Matic",6374,2004-03-18,2021-08-30,357,,,0,.49354,,,,,,,,,
"464798 (2004 JX20)",,,20464798,464798,,,Y,N,0,19.37,,,,,,,1.109,,0.028,10.758,,,,,,0.01,"JPL 154",2460600.5,60600,2024-10-17.0,J2000,0.2657,0.9016,0.662,10.53,101.74,349.12,65.91,1.14,1.151,2460543.26,2024-08-20.7,313,0.856,0.096,37.3,4.02,6.56,5.0e-08,7.3e-10,4.6e-08,7.7e-06,2.1e-05,2.2e-05,3.3e-05,9.2e-10,1.4e-09,2.9e-05,3.8e-07,ATE,"Otto Matic",7280,2004-05-15,2024-04-20,984,2,0,0,.3651,,,,,,,,,
"464885 (2005 LS3)",,,20464885,464885,,,Y,N,0,19.57,,,,,,,0.384,,0.190,,,,,,,0.10,"JPL 42",2460600.5,60600,2024-10-17.0,J2000,0.2677,1.49,1.091,34.90,85.21,123.60,267.66,1.89,0.542,2460770.86,2025-04-05.3,664,1.82,0.18,69.9,3.3,4.34,7.9e-08,6.4e-09,1.2e-07,1.3e-05,1.1e-05,2.7e-05,3.4e-05,8.1e-09,3.5e-09,6.4e-05,4.3e-06,AMO,"Otto Matic",10421,1994-07-10,2023-01-20,130,,,0,.57131,,,,,,,,,
